Link_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1220016702,29,40,40,37,29,37,37,29,37,29,35,34,29,29,34,29,29,34,37,34,34,32,32,34.5
1220016701,39.5,43,42.600000000000001,39.5,39.5,39.5,39.5,41.299999999999997,39.5,42,44,40,43,43,40,44.299999999999997,44.700000000000003,44.299999999999997,45.799999999999997,44.299999999999997,45.299999999999997,45.299999999999997,44,44.5
1220016602,42,42,42,42,42,40.5,43,43.299999999999997,40.700000000000003,43,43,43,43,42,42,42,43,42.700000000000003,41.299999999999997,43,43,40.700000000000003,42,43
1220016601,31,30,30.300000000000001,30.300000000000001,31,31,31,39,31,32,39,32,33,32,32,32,31,32,35,32.5,35,35.5,38.5,32.5
1220016500,21,21,21,21,21,21,21,21,21,21,21.5,21.5,21.5,21,21,21,21,27,27,26,21,21,21,21
1220016400,23,23,23,26,27,28,28,29,26,26,26,23,23,23,23,25,25,28,25,23,23,23,23,23
1220016304,19,26,31,31,31,31,20,15,20,22,20,22,22,23,18,27,21,22,24,31,29,31,31,21
1220016303,36.5,35,34.5,29,29,29,29,35.5,34,35.5,37,37,37,37,37,39,37,37,37,39,39,38,39,37
1220016301,32,31,32,31,31,31,31,32,20,29,40,22,22,23,20,32,32,32,32,40,40,38,40,32
1220016102,24,28,28,28,28,28,28.5,28,28,28,28,26.5,28,37,37,39,37,37,37,37,37,37,37,37
1220016101,26,32,28,37,26,28,29,26,26,38,38,38,38,38,35,38.5,26,38,26,33,30,38,37,38
1220016002,41,41,56,56,56,56,56,54,54,54,53,53,53,41,52,41,41,58,59,59,59,41,61,41
1220016001,30,34.299999999999997,36,41,36,36,36,31,32,31,33.5,34.299999999999997,34.299999999999997,31,31,21,25,31,32.799999999999997,32,31,32,34,32
1220015900,30.5,29,29,29,29,31,31,31,31,31,31,25,26,26,23,23,23,23,23,25,25,25,25,25
1220015800,24,24,23.5,25,25,25,25,25,25,24.5,25.5,28,25,25,25,25,25.5,25.5,25.5,25.5,25.5,23.5,23.5,24.5
1220015702,30,30,30,30,30,30,30,30,30,30,21,21,25,25,23,30,30,30,30,30,30,30,30,30
1220015701,31,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32.5,31,31,31,31,31,31,31,31
1220015602,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24.5,23,23,23,23,23,23.5,23.5,23,24.5
1220015601,36.5,32,32,32,29,29,29,29,29,29,39,39,39,39,29,39,36,39,39,39,29,29,32,29
1220015503,30.5,33.5,33,33,33,33,33,33,33,33,26,26,37,32,41,44,32,46,46,24,32,32,46,17
1220015502,38,39,37.700000000000003,38,39.299999999999997,38.700000000000003,39,39,39,38.700000000000003,39.299999999999997,39.700000000000003,40,40,41.5,40,40,40,42,40,42,39.5,40,42
1220015501,35,36,36,37.299999999999997,35.5,37,37,36,36.5,36,36,36.5,35,36,35,25,31,19,19,29,19,19,19,28
1220015403,40.5,40,39.5,40,40,39,40,39,39,41.5,40.799999999999997,38.299999999999997,38,38,38,38,38,38,38,38,38,38,38,38
1220015402,36,36.299999999999997,36.299999999999997,36.299999999999997,36,36.5,36.5,36,36,36,36,37.5,36,36,26,31,33,30,22,34,30,30,30,34
1220015401,21,21,21,23,21,22,23,21,16,21,21,21,21,21,26,31,33,30,22,33,30,30,32.5,22
1220015300,31,31,31,31,31,31,31,31,31,30,29,31,31,31,31,31,31,31,31,31,31,31,31,31
1220015203,31.5,32,32,32,32,32,32,34,34,34,34.5,35,35,35,33.5,33.5,33.5,32,35,35,35,33,29,35
1220015202,26,26,26,26,26,26,26,33,33,33,34,27,27,27,32,32,32,26,27.5,27.5,27.5,31,25,27.5
1220015201,31.5,33.5,33.5,33.5,33.5,33.5,33.5,33,33,33,34,27,27,27,32,32,32,26,29,29,29,31,25.5,29
1220015100,45.299999999999997,48,49.5,47,49.700000000000003,50,49.299999999999997,45,50.5,47,49.5,51.5,51,49,47.700000000000003,41.700000000000003,47,47,47,42.299999999999997,48,48,46,42.700000000000003
1220015000,32,30,21,21,44,47,37,36,37,31,31,28,28,18,18,18,26,24,24,23,25,24,49,36
1220014904,23,17,11,12,21,25,27,27,13,11,16,16,12,14,22,16,15,27,27,27,27,27,24,16
1220014903,22,21,21,21,21,23,21,21,21,21,21,21,21,21,21.5,16,15,10,10,10,10,10,24,16
1220014804,13,13,13,17,17,29,13,13,13,13,13,13,24,24,24,29,29,29,29.5,29,29,29,29,29
1220014803,16,16,16,19,19,19,19,19,19,19,19,16,16,16,17,39,39,29,30,39,39,39,39,39
1220014700,30,13,15,15,15,14,36,36,36,36,36,36,36,13,36,13,13,13,13,13,13,13,11,11
1220014600,15,28,28,20,20,20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,21,21,15
1220014500,42,50,49,38.5,38.5,37.5,36.5,39,35.700000000000003,37.5,36.299999999999997,39,38.5,39.299999999999997,39.299999999999997,40,38.299999999999997,40,39,40.5,48,49.5,39,42.700000000000003
1220014402,34,38,36.5,32,36,36,31,35,34,29,22,29,30,29,32,30,33,33,30,35,38,35,29,34
1220014302,33,34.5,36,36,34.5,36,36,20,22,21,27,34,26,29,34,29,29,34,34,30,39,42,42,43.5
1220014301,35,34.5,37,37.299999999999997,36.200000000000003,36.299999999999997,36.299999999999997,34.5,34.5,33,33,33.299999999999997,33,31.699999999999999,33,26,32,26,33,36,39,40.5,40,39.5
1220014202,25,28.5,26.5,28,25,26.5,28,40,27,40,40,40,40,40,40,40,40,40,41,41,41,40,40,41
1220014201,18,18,18,18,21,18,18,21,18,20.5,21,21,21,21,21,21,19,18,18,14,18,18,18,14
1220014100,28.300000000000001,28.300000000000001,28,28,28,28,28,28,28,28,28,29,36,27,26,23,27,27,27,27,27,27,27,27
1220014000,31.5,41,39.5,40.5,34,33,33,34,33.5,34,34,32,34,34,31,33,35,40,39.5,39.5,38.600000000000001,36,38,39.600000000000001
1220013700,20,22,22,22,16,16,16,23,23,23,23,22,22,20,21,22,24,24,24,24,16,16,16,29
1220013600,16,16,28,28,17,17,17,16,16,16,16,15,15,29,29,19,27,18,18,13,13,13,32,31
1220013504,30,42,42,43,39,43,30,30,30,32,44,40,33,34,30,35,32,31,37,42,38,30,30,34
1220013503,33,33,33,33,33,33,31.5,31,33,32.5,33,33,19,19,21,19,19,19,19,33,19,33,33,33.5
1220013501,39,43.5,43.5,43,39,43,43,39,39,39,41.5,41,43,43,42,43.5,43.5,43.5,43.5,43,42,44,44,44
1220013404,51,51,51,51,51,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,52,52,53.5,53.5,52,52,41,43,51.5,48.5
1220013403,38,38,38,38,38,47,39,44.5,47,38,47,47,47,38,47,47,45,38,47,32,26,26,26,41
1220013401,35.5,36,36,36,36,35.5,37.5,40,36,40,40,40,38.299999999999997,40,41,40,42.700000000000003,40.700000000000003,41,42,41.299999999999997,42.5,43,42
1220013306,27,36,25,25,25.5,25,25,25,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
1220013305,27,27,27,27,26.5,27,27,27,13,13,13,13,23,13,13,13,36,36,36,36,34.5,35,36,35
1220013303,33,41,40,36,45,34,34,36,38,38,32,41,28,28,32,32,48,48,50,50,50,34,52,34
1220013302,33,34,30,30,26,30,30,30,30,30,30,30,23,29,30,30,28,27.5,26,26,27,27,27,27
1220013203,27.5,27.5,27.5,35,34,36,36,36,36,36,36,34.5,36,36.5,35.5,36,35.5,36,34.5,35.5,35.5,34,36,35.5
1220013202,24,26,26,29,29,26,25,29,29,27,28,33,19,37,35,29,35,28,33,35,35,32,19,35
1220013201,20,20,20,13,13,27,25,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19
1220013100,21,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1220013000,22,22,22,22,22,22,22,22,22,22,22,22,24,24,24,24,22,22,22,22,22,22,22,22
1220012903,46,42,42,42,42,44.5,33,40,31,40,56,56,33,59,56,43,42,50,34,57,57,38,42,34
1220012902,53.700000000000003,56,56,54,52,52,53,53,53,53.299999999999997,51.299999999999997,57.5,54,57.5,57,54,58,54.5,58,54.5,54.5,54.5,58,60
1220012901,37,37.5,37.5,37.5,37.299999999999997,37.700000000000003,37.700000000000003,45,45,45,45,43.299999999999997,43.299999999999997,43,44.5,44,42.299999999999997,45,45,45,45,45,45,45
1220012803,54,53.299999999999997,52.700000000000003,53.299999999999997,50.700000000000003,51.5,50.299999999999997,53,52.5,54,54.700000000000003,54,54,54,51.5,55.700000000000003,55,52.799999999999997,52,50.299999999999997,52,52,50.5,51.700000000000003
1220012802,51.299999999999997,55.5,56.799999999999997,56.799999999999997,56.700000000000003,57.299999999999997,57.299999999999997,53,57,53,54,54,54,53.700000000000003,53.5,53.5,55,54,54,55,42,42,42,42
1220012801,48,47.299999999999997,54,54,48.5,54,51.700000000000003,36,36,36,47,47,47,45.5,47,45.299999999999997,46,47,47,46,36,36,36,36
1220012700,20,20,35,35,20,35,35,21,28,33.5,28,22,22,28,28,20,24,22,25,27,27,27,19,26
1220012600,34,40,29,29,22,29,24,30,32,28,28,27,27,24,24,23,26,26,26,25,26.5,26,24,34
1220012502,24,19,18,18,13,31,22,22,23,25,27,30,27,24,22,22,24,25,23,29,24,22,30,21
1220012501,42,28,28,28,39,39,28,28,28,36,40,40,48,48,48,48,48,48,51,51,51,51,51,51
1220012402,29,29,29,29,29,32,30,34,37,31,33,31,35,35,29,37,29,36,35,36,29,33,36,39
1220012401,31,31,31,31,45,45,43,34,37,43,35,39,37,36.5,35,39,41,38.5,41,41,41,41,42,40.5
1220012302,12,12,12,12,20.5,20.5,19.5,19,19,19,12,12,19,12,12,12,12,22,22,19,19,19,19,20.5
1220012301,20,20,20,20,20,20,20,20,20,20,16,16,16,16,16,16,16,24,24,16,16,16,16,19.5
1220012202,18,18,18,18,18,20,18,18,18,18,18,18,18,18,18,18,20.5,19,19,19,19,19,20,20
1220012201,13,13,13,13,13,21,12,12,12,12,12,12,12,12,12,12,7,22,22,22,22,22,21,21
1220012100,32,29,29,29,29,29,29,29,20,29,29,18,25,22,24,30,34,35,35,25,25,25,25,24
1220012000,28,28,28,28,28,28,28.699999999999999,28,27,27,27,27,27,27,27,27,29.5,29.5,32,32,29.699999999999999,29.699999999999999,35.5,28
1220011903,20,22,25,25,20,24.5,25,36,23,29,30,27,17,18,30,21,26,17,25,30,7,36,33,36
1220011902,20,22,38,45,20,24,36,39,23,29,30,27,18,38,30,21,26,38,25,30,38,38,33,39
1220011802,31,31,26,26,26,36,26,26,26,26,42,42,26,42,26,26,26,26,26,26,36,29,29,26
1220011703,35.5,36.299999999999997,36.299999999999997,32.5,32,33.5,35.299999999999997,35.299999999999997,35.299999999999997,32,32.5,31.699999999999999,32,32,35,35,32.5,35,33.5,33.5,33.5,35,35,35
1220011702,29,29,29,29,30,30.5,29,29,29,30,29,29.5,30,30,31,31,29,31,30.5,30.5,30.5,31,31,31
1220011701,31,31,31,31.5,31.5,32,32.5,32.5,32.5,31.5,31,31,31.5,31.5,32,32,31,33,32.5,32.5,32.5,33,33,31
1220011604,39,32,32,32,32,32,32,33,33,33,34,30,30,30,32,32,40,30,40,40,40,40,30,40
1220011603,32.299999999999997,34,34,34,33.799999999999997,33.799999999999997,33.799999999999997,33.799999999999997,33.799999999999997,33.799999999999997,34.299999999999997,34,34,34,36,34.299999999999997,34,33.299999999999997,36,36,34,34.299999999999997,31,34.299999999999997
1220011602,31,29,29,29,29,29,29,29,29,29,33,32,32,32,35,33,34.5,33,36,36,34.5,35,36,36
1220011601,31,31,31,31,31,31,31,31,31,31,33,32,32,32,21,33,29,29.5,29,29,29,29,29,29
1220011503,7,26,11,20,23,28,20,21,19,32,23,24,20,14,19,23,16,16,20,21,29,19,26,28
1220011502,19,28,19,30,30,29,30,30,30,31,30,30,30,30,36,36,19,19,19.5,20,19,19,36,36
1220011501,45,44,44,44,45.5,45.5,45,45,45,45.5,45.5,45.5,45,45,45,45,41,41,41,41,43,41,45,45
1220011403,12,12,43.5,44,34,44,39,39,40,40,42,42,41,43.5,38,38,38,38,38,38,38,38,38,38
1220011402,43.700000000000003,46.799999999999997,50.5,50.5,52,52,52,50.5,50.5,50.5,50.5,42,41,42,50,51.700000000000003,51.299999999999997,50.5,52,52,52,52.299999999999997,52.299999999999997,52.700000000000003
1220011401,53.5,53.5,58,58,57,59,59,59.5,59.5,59.5,60,57,57,57,58,57,42,38,45,40,40,42,43,44
1220011300,10,10,10,10,10,10,10,10,10,10,21,21,21,21,21,21,21,14,14,14,14,14,8,8
1220011200,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,33,33
1220011102,49,36,36,44,44,33,50,31,31,36,42,50,49,49,33,31,31,31,31,31,31,31,31,31
1220011101,31,36,36,36,36,33,29.300000000000001,28,28,36,36,29,28,28,28,28,28,28,28,28,28,28,28,28
1220011002,32.299999999999997,32,32,35,35,35,35,32,33,32.5,32,34.5,34.5,33,33,46,33,36,33,48,48,47,33,33
1220011001,26,26,26,26,26,26,26,26,26,26,25.5,25,25.5,25,23,31,18,36,29,33,33,33,17,27
1220010905,22,22,22,22,22,22,10,11,11,12,14,12,14,19,12,10,8,30,13,13,10,18,26,21
